Altium Designer Pick and Place Locations
D:\Downloads\工作\ThreeAxis\Project Outputs for ThreeAxis\Pick Place for 01.csv

========================================================================================================================
File Design Information:

Date:       09/02/21
Time:       21:07
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"CompType","Designator","Comment","Layer","Package"
"Capacitor","C52","100uF","BottomLayer","1210"
"Capacitor","C51","100uF","BottomLayer","1210"
"Capacitor","C50","100uF","BottomLayer","1210"
"Capacitor","C49","100uF","BottomLayer","1210"
"Capacitor","C48","100uF","BottomLayer","1210"
"Capacitor","C47","100uF","BottomLayer","1210"
"Capacitor","C46","100uF","BottomLayer","1210"
"Capacitor","C45","100uF","BottomLayer","1210"
"Capacitor","C44","100uF","BottomLayer","1210"
"Capacitor","C43","100uF","BottomLayer","1210"
"Capacitor","C23","100uF","BottomLayer","1210"
"电源参考","U11","ISL21080DIH309Z-TK","BottomLayer","SOT23-3"
"电源参考","U7","ISL21080DIH309Z-TK","BottomLayer","SOT23-3"
"Capacitor","C54","1uF","BottomLayer","0603"
"Capacitor","C53","1uF","BottomLayer","0603"
"Capacitor","C27","1uF","BottomLayer","0603"
"Capacitor","C26","1uF","BottomLayer","0603"
"运放","U9C","OPA313IDCKR","BottomLayer","SC-70-5"
"运放","U9B","OPA313IDCKR","BottomLayer","SC-70-5"
"运放","U9A","OPA313IDCKR","BottomLayer","SC-70-5"
"运放","U8C","TLV333IDCK","BottomLayer","SC-70-5"
"运放","U8B","TLV333IDCK","BottomLayer","SC-70-5"
"运放","U8A","TLV333IDCK","BottomLayer","SC-70-5"
"模拟开关","U6","TPS22860DBVR","BottomLayer","SOT23-6"
"看门狗","U5","TPL5010DDCR","BottomLayer","SOT23-Thin-6"
"Resistor","R15C","330k","BottomLayer","0603"
"Resistor","R15B","330k","BottomLayer","0603"
"Resistor","R15A","330k","BottomLayer","0603"
"Resistor","R14C","200K","BottomLayer","0603"
"Resistor","R14B","200K","BottomLayer","0603"
"Resistor","R14A","200K","BottomLayer","0603"
"Resistor","R13C","100M","BottomLayer","0805"
"Resistor","R13B","100M","BottomLayer","0805"
"Resistor","R13A","100M","BottomLayer","0805"
"Resistor","R12C","1K","BottomLayer","0603"
"Resistor","R12B","1K","BottomLayer","0603"
"Resistor","R12A","1K","BottomLayer","0603"
"Resistor","R11C","1K","BottomLayer","0603"
"Resistor","R11B","1K","BottomLayer","0603"
"Resistor","R11A","1K","BottomLayer","0603"
"Resistor","R10C","24.9K","BottomLayer","0603"
"Resistor","R10B","24.9K","BottomLayer","0603"
"Resistor","R10A","24.9K","BottomLayer","0603"
"Resistor","R9C","100K","BottomLayer","0603"
"Resistor","R9B","100K","BottomLayer","0603"
"Resistor","R9A","100K","BottomLayer","0603"
"Resistor","R8C","100M","BottomLayer","0805"
"Resistor","R8B","100M","BottomLayer","0805"
"Resistor","R8A","100M","BottomLayer","0805"
"Resistor","R7","10K","BottomLayer","0603"
"Resistor","R6","0R","BottomLayer","0603"
"Resistor","R5","100K","BottomLayer","0603"
"Capacitor","C34C","1nF","BottomLayer","0603"
"Capacitor","C34B","1nF","BottomLayer","0603"
"Capacitor","C34A","1nF","BottomLayer","0603"
"Capacitor","C33C","100nF","BottomLayer","0603"
"Capacitor","C33B","100nF","BottomLayer","0603"
"Capacitor","C33A","100nF","BottomLayer","0603"
"Capacitor","C32C","100nF","BottomLayer","0603"
"Capacitor","C32B","100nF","BottomLayer","0603"
"Capacitor","C32A","100nF","BottomLayer","0603"
"Capacitor","C30C","22nF","BottomLayer","0805"
"Capacitor","C30B","22nF","BottomLayer","0805"
"Capacitor","C30A","22nF","BottomLayer","0805"
"Capacitor","C29C","10uF","BottomLayer","0805"
"Capacitor","C29B","10uF","BottomLayer","0805"
"Capacitor","C29A","10uF","BottomLayer","0805"
"Capacitor","C28C","1nF","BottomLayer","0603"
"Capacitor","C28B","1nF","BottomLayer","0603"
"Capacitor","C28A","1nF","BottomLayer","0603"
"Capacitor","C25C","22nF","BottomLayer","0805"
"Capacitor","C25B","22nF","BottomLayer","0805"
"Capacitor","C25A","22nF","BottomLayer","0805"
"Capacitor","C14","100nF","BottomLayer","0603"
"Capacitor","C11","100nF","BottomLayer","0603"
"Capacitor","C10","100nF","BottomLayer","0603"
"Capacitor","C9","100nF","BottomLayer","0603"
"Capacitor","C8","1uF","BottomLayer","0603"
"Capacitor","C55","1nF","TopLayer","0805"
"Capacitor","C24","100uF","TopLayer","1210"
"Capacitor","C22","100uF","TopLayer","1210"
"Capacitor","C21","100uF","TopLayer","1210"
"Capacitor","C20","100uF","TopLayer","1210"
"Capacitor","C19","100uF","TopLayer","1210"
"Capacitor","C18","100uF","TopLayer","1210"
"Capacitor","C17","100uF","TopLayer","1210"
"Capacitor","C16","100uF","TopLayer","1210"
"Capacitor","C15","100uF","TopLayer","1210"
"晶振","X2","32.768k","TopLayer","SMD-2012"
"晶振","X1","24MHZ","TopLayer","SMD-2016"
"运放","U10C","TLV4333IDR","TopLayer","SOIC-14"
"运放","U10B","TLV4333IDR","TopLayer","SOIC-14"
"运放","U10A","TLV4333IDR","TopLayer","SOIC-14"
"Balun","U4","0850BM14E0016","TopLayer","6P0603"
"低通","U3","0900LP15B0063","TopLayer","8P0805"
"","U2","ANTENNA_PCB","TopLayer","P1X1"
"MCU","U1","CC1310F128RSMR","TopLayer","VQFN-32"
"Resistor","R23C","17.8K","TopLayer","0603"
"Resistor","R23B","17.8K","TopLayer","0603"
"Resistor","R23A","17.8K","TopLayer","0603"
"Resistor","R22C","10K","TopLayer","0603"
"Resistor","R22B","10K","TopLayer","0603"
"Resistor","R22A","10K","TopLayer","0603"
"Resistor","R21C","26.1K","TopLayer","0603"
"Resistor","R21B","26.1K","TopLayer","0603"
"Resistor","R21A","26.1K","TopLayer","0603"
"Resistor","R20C","10.7K","TopLayer","0603"
"Resistor","R20B","10.7K","TopLayer","0603"
"Resistor","R20A","10.7K","TopLayer","0603"
"Resistor","R19C","34.8K","TopLayer","0603"
"Resistor","R19B","34.8K","TopLayer","0603"
"Resistor","R19A","34.8K","TopLayer","0603"
"Resistor","R18C","17.4K","TopLayer","0603"
"Resistor","R18B","17.4K","TopLayer","0603"
"Resistor","R18A","17.4K","TopLayer","0603"
"Resistor","R17C","110K","TopLayer","0603"
"Resistor","R17B","110K","TopLayer","0603"
"Resistor","R17A","110K","TopLayer","0603"
"Resistor","R16C","47.5K","TopLayer","0603"
"Resistor","R16B","47.5K","TopLayer","0603"
"Resistor","R16A","47.5K","TopLayer","0603"
"Resistor","R4","0R","TopLayer","0603"
"Resistor","R3","0R","TopLayer","0603"
"Resistor","R2","0R","TopLayer","0603"
"Resistor","R1","330R","TopLayer","0603"
"-","P3C","Header 2","TopLayer","-"
"-","P3B","Header 2","TopLayer","-"
"-","P3A","Header 2","TopLayer","-"
"-","P2","Header 2","TopLayer","-"
"-","P1","Header 3","TopLayer","-"
"-","MH2","HOLE_PTH","TopLayer","-"
"-","MH1","HOLE_PTH","TopLayer","-"
"Inductor","L1","6.8uH","TopLayer","0805"
"连接器","J3","530470510","TopLayer","1.25mm 5p"
"IPEX插座","J2","IPEX","TopLayer","SMD"
"-","J1","Header 4","TopLayer","-"
"","G1","PAD","TopLayer",""
"LED","D1","MHT192WDT-C2","TopLayer","0603"
"Capacitor","C42C","8.2nF","TopLayer","0603"
"Capacitor","C42B","8.2nF","TopLayer","0603"
"Capacitor","C42A","8.2nF","TopLayer","0603"
"Capacitor","C41C","3.3nF","TopLayer","0603"
"Capacitor","C41B","3.3nF","TopLayer","0603"
"Capacitor","C41A","3.3nF","TopLayer","0603"
"Capacitor","C40C","1nF","TopLayer","0603"
"Capacitor","C40B","1nF","TopLayer","0603"
"Capacitor","C40A","1nF","TopLayer","0603"
"Capacitor","C39C","82pF","TopLayer","0603"
"Capacitor","C39B","82pF","TopLayer","0603"
"Capacitor","C39A","82pF","TopLayer","0603"
"Capacitor","C38C","10nF","TopLayer","0603"
"Capacitor","C38B","10nF","TopLayer","0603"
"Capacitor","C38A","10nF","TopLayer","0603"
"Capacitor","C37C","10nF","TopLayer","0603"
"Capacitor","C37B","10nF","TopLayer","0603"
"Capacitor","C37A","10nF","TopLayer","0603"
"Capacitor","C36C","10nF","TopLayer","0603"
"Capacitor","C36B","10nF","TopLayer","0603"
"Capacitor","C36A","10nF","TopLayer","0603"
"Capacitor","C35C","10nF","TopLayer","0603"
"Capacitor","C35B","10nF","TopLayer","0603"
"Capacitor","C35A","10nF","TopLayer","0603"
"Capacitor","C31C","100nF","TopLayer","0603"
"Capacitor","C31B","100nF","TopLayer","0603"
"Capacitor","C31A","100nF","TopLayer","0603"
"Capacitor","C13","100nF","TopLayer","0603"
"Capacitor","C12","100nF","TopLayer","0603"
"Capacitor","C7","12pF","TopLayer","0402"
"Capacitor","C6","100pF","TopLayer","0402"
"Capacitor","C5","100pF","TopLayer","0402"
"Capacitor","C4","12pF","TopLayer","0402"
"Capacitor","C3","100nF","TopLayer","0603"
"Capacitor","C2","100nF","TopLayer","0603"
"Capacitor","C1","22uF","TopLayer","0805"
