Altium Designer Pick and Place Locations
D:\Git\AltiumProjects\ThreeAxis\Project Outputs for ThreeAxis\Pick Place\Pick Place for 01(不调整偏置).csv

========================================================================================================================
File Design Information:

Date:       18/02/21
Time:       21:17
Revision:   995b845e949b684911d50ce93787811b6198b4e7
Variant:    不调整偏置
Units used: mil

"Designator","Comment","Layer","Center-X(mil)","Center-Y(mil)","Rotation"
"C55","1nF","TopLayer","-620.000","60.000","180"
"C24","100uF","TopLayer","-245.000","-715.000","270"
"C22","100uF","TopLayer","-705.000","-210.000","180"
"C21","100uF","TopLayer","-120.000","-715.000","270"
"C20","100uF","TopLayer","135.000","-750.000","270"
"C19","100uF","TopLayer","5.000","-750.000","270"
"C18","100uF","TopLayer","505.000","-215.000","90"
"C17","100uF","TopLayer","740.000","-215.000","90"
"C16","100uF","TopLayer","622.500","-215.000","90"
"C15","100uF","TopLayer","520.000","335.000","270"
"X2","32.768k","TopLayer","-85.000","646.000","90"
"X1","24MHZ","TopLayer","-200.000","314.000","270"
"U10C","TLV4333IDR","TopLayer","196.331","70.102","360"
"U10B","TLV4333IDR","TopLayer","196.882","-423.559","360"
"U10A","TLV4333IDR","TopLayer","-363.559","-251.331","270"
"U4","0850BM14E0016","TopLayer","-91.315","500.685","270"
"U3","0900LP15B0063","TopLayer","130.213","520.000","270"
"U2","ANTENNA_PCB","TopLayer","362.000","520.000","0"
"U1","CC1310F128RSMR","TopLayer","-251.874","549.197","180"
"R23C","17.8K","TopLayer","-13.669","-37.398","360"
"R23B","17.8K","TopLayer","-13.118","-531.059","360"
"R23A","17.8K","TopLayer","-471.059","-41.331","270"
"R22C","10K","TopLayer","-13.669","-89.898","360"
"R22B","10K","TopLayer","-13.118","-583.559","360"
"R22A","10K","TopLayer","-523.559","-41.331","270"
"R21C","26.1K","TopLayer","372.331","-58.339","90"
"R21B","26.1K","TopLayer","372.882","-552.000","90"
"R21A","26.1K","TopLayer","-492.000","-427.331","360"
"R20C","10.7K","TopLayer","166.957","-137.898","360"
